               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.018009,           0.0051919,                   0,             0.98605,             0.99372,               0.992,             0.85745,            0.012015,           0.0030197,                   0,            0.008812,            0.008812,            0.008812
                 146,            0.017847,           0.0052293,                   0,             0.98583,             0.99402,             0.99205,             0.85767,            0.012003,           0.0030181,                   0,           0.0088038,           0.0088038,           0.0088038
                 147,            0.017888,           0.0051745,                   0,             0.98623,             0.99384,             0.99207,             0.85802,            0.011992,           0.0030159,                   0,           0.0087955,           0.0087955,           0.0087955
                 148,            0.017645,           0.0051591,                   0,             0.98606,             0.99396,             0.99209,             0.85872,            0.011979,           0.0030135,                   0,           0.0087872,           0.0087872,           0.0087872
                 149,            0.017629,           0.0051738,                   0,             0.98602,             0.99396,             0.99207,             0.85886,            0.011968,           0.0030119,                   0,            0.008779,            0.008779,            0.008779
                 150,            0.017653,            0.005172,                   0,             0.98615,             0.99396,             0.99207,             0.85929,            0.011958,           0.0030103,                   0,           0.0087708,           0.0087708,           0.0087708
                 151,            0.017499,           0.0051864,                   0,             0.98631,             0.99392,              0.9921,             0.85927,            0.011947,           0.0030087,                   0,           0.0087625,           0.0087625,           0.0087625
                 152,            0.017595,           0.0051282,                   0,             0.98624,             0.99409,             0.99212,             0.85936,            0.011936,           0.0030067,                   0,           0.0087542,           0.0087542,           0.0087542
                 153,            0.017758,           0.0051695,                   0,             0.98643,             0.99407,             0.99213,             0.85947,            0.011924,           0.0030047,                   0,            0.008746,            0.008746,            0.008746
                 154,            0.017686,           0.0051404,                   0,             0.98631,             0.99414,             0.99211,             0.85964,            0.011912,            0.003003,                   0,           0.0087378,           0.0087378,           0.0087378
                 155,            0.017734,           0.0051955,                   0,             0.98619,             0.99425,             0.99212,             0.85965,            0.011903,           0.0030012,                   0,           0.0087295,           0.0087295,           0.0087295
                 156,            0.017756,           0.0051627,                   0,             0.98619,             0.99425,             0.99211,             0.85986,            0.011891,           0.0029992,                   0,           0.0087212,           0.0087212,           0.0087212
                 157,            0.017816,           0.0051944,                   0,             0.98607,             0.99446,             0.99214,             0.85988,            0.011881,           0.0029977,                   0,            0.008713,            0.008713,            0.008713
                 158,            0.017659,           0.0050988,                   0,             0.98601,             0.99458,             0.99216,              0.8608,            0.011872,           0.0029956,                   0,           0.0087048,           0.0087048,           0.0087048
                 159,            0.017427,           0.0050399,                   0,             0.98607,             0.99455,             0.99215,             0.86137,            0.011861,           0.0029937,                   0,           0.0086965,           0.0086965,           0.0086965
                 160,            0.017618,           0.0051953,                   0,             0.98583,             0.99468,             0.99216,             0.86135,            0.011851,           0.0029918,                   0,           0.0086882,           0.0086882,           0.0086882
